Header,Column1,Match Match,Red Alliance Red Alliance Blue Alliance,Red Alliance Red Alliance Blue Alliance2,Red Alliance Red Alliance Blue Alliance3,Red Alliance Red Alliance Blue Alliance4,Red Alliance Red Alliance Blue Alliance5,Red Alliance Red Alliance Blue Alliance6,Blue Alliance Red Alliance Blue Alliance,Blue Alliance Red Alliance Blue Alliance2,Blue Alliance Red Alliance Blue Alliance3,Blue Alliance Red Alliance Blue Alliance4,Blue Alliance Red Alliance Blue Alliance5,Blue Alliance Red Alliance Blue Alliance6,Scores Red Score Blue Score,Scores Red Score Blue Score2
Qualifications,,Quals 58,4010,4010,4010,4010,6702,6702,6702,6702,8244,8244,8244,8244,18,18
Qualifications,,Quals 59,2283,2283,5696,5696,8293,8293,6832,6832,3794,3794,8776,8776,11,17
Qualifications,,Quals 59,2283,2283,2283,2283,5696,5696,5696,5696,8293,8293,8293,8293,11,11
Qualifications,,Quals 59,6832,6832,6832,6832,3794,3794,3794,3794,8776,8776,8776,8776,17,17
Qualifications,,Quals 60,6106,6106,4775,4775,6170,6170,4731,4731,3510,3510,6348,6348,35,61
Qualifications,,Quals 60,6106,6106,6106,6106,4775,4775,4775,4775,6170,6170,6170,6170,35,35
Qualifications,,Quals 60,4731,4731,4731,4731,3510,3510,3510,3510,6348,6348,6348,6348,61,61
Qualifications,,Quals 61,4782,4782,4371,4371,3472,3472,5887,5887,4635,4635,6694,6694,2,76
Qualifications,,Quals 61,4782,4782,4782,4782,4371,4371,4371,4371,3472,3472,3472,3472,2,2
Qualifications,,Quals 61,5887,5887,5887,5887,4635,4635,4635,4635,6694,6694,6694,6694,76,76
Qualifications,,Quals 62,6647,6647,7421,7421,5959,5959,5716,5716,4723,4723,5133,5133,45,10
Qualifications,,Quals 62,6647,6647,6647,6647,7421,7421,7421,7421,5959,5959,5959,5959,45,45
Qualifications,,Quals 62,5716,5716,5716,5716,4723,4723,4723,4723,5133,5133,5133,5133,10,10
Qualifications,,Quals 63,3354,3354,8293,8293,3933,3933,8734,8734,8740,8740,3478,3478,32,28
